Jeg;ser;min;kat;med;blå;hat
Han;har;rød;bil;med;nyt;rat
Hun;fik;gul;hat;fra;sin;mor
Den;grå;ulv;løb;ned;mod;åen
Det;blå;lys;kom;fra;vor;bil
Jeg;tog;min;bog;med;til;mor
Han;gav;sin;søn;tre;nye;sko
Når;sol;går;ned;ser;jeg;lys
Jeg;går;tur;med;min;far;tit
Hun;går;tur;med;sin;mor;tit
Han;går;tur;med;sin;søn;tit
Hun;tog;bus;til;sit;nye;job
Jeg;gik;fra;hus;til;min;bil
Den;bil;var;rød;med;nyt;rat
Det;hus;har;blå;dør;med;lås
Vor;bil;har;nyt;rat;med;lys
Min;mor;gav;mig;nye;blå;sko
Min;far;gav;mig;tre;nye;sko
Han;tog;sin;kat;med;til;mor
Hun;sad;med;sin;bog;ved;åen
Jeg;sad;ved;åen;med;min;bog
Han;gik;ned;til;åen;med;mig
Hun;kom;fra;spa;med;rød;hud
Jeg;gik;til;zoo;med;min;mor
Han;tog;bus;fra;sit;nye;job
Jeg;har;set;tre;små;dyr;her
Han;har;set;tre;små;dyr;her
Hun;har;set;den;blå;bil;her
Jeg;har;set;den;grå;ulv;her
Der;var;kun;tre;små;dyr;her
Han;var;sur;men;hun;var;sød
Hun;var;sur;men;han;var;rar
Min;mor;var;sød;men;far;sur
Min;far;var;rar;men;mor;sur
Den;kat;var;sød;men;ret;sur
Den;ulv;var;grå;men;ret;rar
Det;dyr;var;syg;men;ret;rar
Jeg;ser;min;ven;ved;den;bro
Min;ven;gik;med;mig;til;pub
Hun;gik;fra;spa;med;sin;mor
